turn_hour,carrier,turns,predicted_inherited_base,predicted_inherited_plus_10,buffer_efficiency
0,AA,7732,44069.0,35936.0,0.1052
0,AS,3486,11517.0,7625.0,0.1116
0,B6,292,3876.0,3324.0,0.189
0,DL,8395,29363.0,21956.0,0.0882
0,F9,6597,66303.0,51568.0,0.2234
0,HA,1,0.0,0.0,0.0
0,MQ,44,274.0,231.0,0.0977
0,NK,2482,15915.0,12424.0,0.1407
0,OH,69,422.0,291.0,0.1899
0,OO,61,292.0,209.0,0.1361
0,QX,42,28.0,18.0,0.0238
0,UA,5539,30380.0,24320.0,0.1094
0,YV,6,195.0,185.0,0.1667
0,YX,62,304.0,204.0,0.1613
1,AA,6335,16739.0,13468.0,0.0516
1,AS,4135,8226.0,5504.0,0.0658
1,B6,1603,15379.0,13003.0,0.1482
1,DL,6379,22903.0,19718.0,0.0499
1,F9,6256,27120.0,22280.0,0.0774
1,HA,987,4601.0,3665.0,0.0948
1,NK,3004,17488.0,13999.0,0.1161
1,OO,69,409.0,307.0,0.1478
1,UA,4854,45370.0,38062.0,0.1506
2,AA,78,605.0,575.0,0.0385
2,AS,3887,8716.0,5303.0,0.0878
2,B6,1309,12400.0,10520.0,0.1436
2,DL,400,2281.0,1837.0,0.111
2,F9,623,8207.0,6621.0,0.2546
2,HA,836,1210.0,970.0,0.0287
2,NK,1367,14958.0,12385.0,0.1882
2,UA,866,9104.0,7285.0,0.21
3,AS,1109,1232.0,917.0,0.0284
3,B6,1187,7543.0,6285.0,0.106
3,DL,74,645.0,590.0,0.0738
3,F9,1537,17129.0,13501.0,0.236
3,NK,1188,6242.0,4729.0,0.1274
4,AS,558,315.0,202.0,0.0203
4,B6,990,9342.0,7815.0,0.1542
4,DL,1,0.0,0.0,0.0
4,F9,657,1427.0,1049.0,0.0575
4,NK,1090,5164.0,3945.0,0.1118
4,UA,7,0.0,0.0,0.0
5,9E,12749,31139.0,30129.0,0.0079
5,AA,115790,171762.0,165945.0,0.005
5,AS,7328,792.0,557.0,0.0032
5,B6,11937,29452.0,24659.0,0.0401
5,DL,95163,150829.0,144298.0,0.0069
5,F9,20573,25957.0,23625.0,0.0113
5,HA,2749,0.0,0.0,0.0
5,MQ,28766,13756.0,13230.0,0.0018
5,NK,41804,19430.0,16803.0,0.0063
5,OH,29590,57574.0,55836.0,0.0059
5,OO,65249,169514.0,164332.0,0.0079
5,QX,3582,0.0,0.0,0.0
5,UA,47118,24161.0,22967.0,0.0025
5,WN,195462,1590.0,1132.0,0.0002
5,YV,3182,10066.0,9806.0,0.0082
5,YX,15099,7645.0,7395.0,0.0017
6,9E,63123,65045.0,62430.0,0.0041
6,AA,271460,332638.0,317362.0,0.0056
6,AS,50986,13667.0,9458.0,0.0083
6,B6,76922,41247.0,35006.0,0.0081
6,DL,313106,273282.0,260101.0,0.0042
6,F9,58003,72315.0,63585.0,0.0151
6,HA,13142,2168.0,1342.0,0.0063
6,MQ,89401,38034.0,36184.0,0.0021
6,NK,83132,61010.0,49489.0,0.0139
6,OH,65193,60910.0,58860.0,0.0031
6,OO,212213,338375.0,325934.0,0.0059
6,QX,6772,630.0,466.0,0.0024
6,UA,179089,87190.0,78186.0,0.005
6,WN,468914,8015.0,5188.0,0.0006
6,YV,12333,29836.0,28876.0,0.0078
6,YX,110866,23041.0,22054.0,0.0009
7,9E,37945,32892.0,30303.0,0.0068
7,AA,262642,271954.0,239354.0,0.0124
7,AS,100901,70320.0,48403.0,0.0217
7,B6,66362,52465.0,41467.0,0.0166
7,DL,315993,254622.0,220817.0,0.0107
7,F9,36658,89994.0,72844.0,0.0468
7,HA,27048,41810.0,31632.0,0.0376
7,MQ,61646,27179.0,23520.0,0.0059
7,NK,58962,74452.0,57017.0,0.0296
7,OH,51602,58880.0,52627.0,0.0121
7,OO,183577,235828.0,212294.0,0.0128
7,QX,12672,4321.0,2879.0,0.0114
7,UA,216726,153732.0,120341.0,0.0154
7,WN,324605,108345.0,68585.0,0.0122
7,YV,14396,26520.0,24807.0,0.0119
7,YX,67591,35743.0,31358.0,0.0065
8,9E,37756,75958.0,62297.0,0.0362
8,AA,224339,278979.0,225512.0,0.0238
8,AS,69258,53172.0,34922.0,0.0264
8,B6,55916,106708.0,83017.0,0.0424
8,DL,232713,226289.0,181042.0,0.0194
8,F9,39001,152662.0,124644.0,0.0718
8,HA,25357,30844.0,21685.0,0.0361
8,MQ,79796,89654.0,61585.0,0.0352
8,NK,52054,126816.0,96735.0,0.0578
8,OH,39726,100372.0,80333.0,0.0504
8,OO,195911,399758.0,338831.0,0.0311
8,QX,10072,9794.0,7274.0,0.025
8,UA,189182,139899.0,108782.0,0.0164
8,WN,412627,448799.0,295675.0,0.0371
8,YV,11819,39171.0,34593.0,0.0387
8,YX,86208,143314.0,112944.0,0.0352
9,9E,32961,80727.0,63480.0,0.0523
9,AA,172264,376965.0,292786.0,0.0489
9,AS,51131,82014.0,54619.0,0.0536
9,B6,49472,206348.0,160860.0,0.0919
9,DL,165750,255631.0,198705.0,0.0343
9,F9,39461,217079.0,176790.0,0.1021
9,HA,22410,26659.0,18305.0,0.0373
9,MQ,41769,99128.0,70915.0,0.0675
9,NK,52656,177660.0,135636.0,0.0798
9,OH,58244,153550.0,121359.0,0.0553
9,OO,161349,494225.0,403198.0,0.0564
9,QX,8828,14697.0,9897.0,0.0544
9,UA,143191,183567.0,143249.0,0.0282
9,WN,296804,578689.0,375802.0,0.0684
9,YV,8494,40250.0,33876.0,0.075
9,YX,65789,132598.0,102462.0,0.0458
10,9E,61094,157748.0,124049.0,0.0552
10,AA,223431,809024.0,624341.0,0.0827
10,AS,65014,140758.0,97071.0,0.0672
10,B6,65878,331303.0,261539.0,0.1059
10,DL,261553,517484.0,406199.0,0.0425
10,F9,39221,229940.0,185107.0,0.1143
10,HA,23214,36710.0,25007.0,0.0504
10,MQ,94691,300141.0,209241.0,0.096
10,NK,57276,242245.0,185924.0,0.0983
10,OH,54151,287528.0,228018.0,0.1099
10,OO,226449,1035274.0,847166.0,0.0831
10,QX,12183,26593.0,19467.0,0.0585
10,UA,163782,333548.0,257178.0,0.0466
10,WN,384326,1024052.0,679500.0,0.0897
10,YV,18567,104990.0,86807.0,0.0979
10,YX,88977,240441.0,185124.0,0.0622
11,9E,41797,145628.0,114511.0,0.0744
11,AA,219510,884982.0,685128.0,0.091
11,AS,58737,153437.0,100534.0,0.0901
11,B6,61523,366208.0,288891.0,0.1257
11,DL,286109,751024.0,595653.0,0.0543
11,F9,42860,292643.0,235291.0,0.1338
11,HA,20598,38803.0,25049.0,0.0668
11,MQ,50338,206110.0,145861.0,0.1197
