year,month,month_start,carrier,carrier_name,carrier_type,scheduled_flights,completed_flights,cancelled_flights,diverted_flights,on_time_arrival_pct,completion_factor_pct,cancellation_rate_pct,avg_arr_delay_minutes,median_arr_delay_minutes,p90_arr_delay_minutes,root_delay_minutes,inherited_delay_minutes,controllable_root_minutes,external_root_minutes,inherited_share_pct,avg_block_variance_minutes
2023,5,2023-05-01,UA,United Airlines,Network,62340,61616,510,214,78.0,98.84,0.82,6.22,-7.0,45.0,526413,373812,297711,228702,41.5,-6.71
2025,3,2025-03-01,YX,Republic Airways,Regional,28824,28422,338,64,83.33,98.61,1.17,0.23,-10.0,30.0,195789,103567,79226,116563,34.6,-4.48
2024,5,2024-05-01,AS,Alaska Airlines,Network,21257,21098,117,42,75.33,99.25,0.55,5.92,-2.0,38.0,151272,92435,76579,74693,37.9,-2.26
2021,10,2021-10-01,DL,Delta Air Lines,Network,70518,70397,35,86,88.48,99.83,0.05,-0.84,-7.0,17.0,375871,120798,265897,109974,24.3,-6.39
2023,5,2023-05-01,F9,Frontier Airlines,Ultra low-cost,14122,13920,181,21,66.65,98.57,1.28,19.76,0.0,76.0,169281,183212,108208,61073,52.0,-3.44
2025,11,2025-11-01,OO,SkyWest Airlines,Regional,68347,65222,2964,161,78.27,95.43,4.34,5.44,-9.0,39.0,833538,152218,431008,402530,15.4,-3.9
2022,9,2022-09-01,F9,Frontier Airlines,Ultra low-cost,13512,12927,564,21,70.34,95.67,4.17,12.99,-2.0,54.0,140827,103405,89994,50833,42.3,-4.43
2022,9,2022-09-01,MQ,Envoy Air,Regional,19919,19680,216,23,85.62,98.8,1.08,0.38,-7.0,22.0,91441,62303,43029,48412,40.5,-3.39
2021,3,2021-03-01,F9,Frontier Airlines,Ultra low-cost,10886,10551,325,10,84.09,96.92,2.99,-3.64,-10.0,22.0,47122,23849,23178,23944,33.6,-5.61
2021,3,2021-03-01,9E,Endeavor Air,Regional,21394,21370,0,24,94.64,99.89,0.0,-10.72,-15.0,3.0,53332,15618,33874,19458,22.7,-9.84
2022,8,2022-08-01,OO,SkyWest Airlines,Regional,63698,62641,876,181,82.94,98.34,1.38,4.71,-8.0,32.0,630003,171413,482526,147477,21.4,-5.08
2025,4,2025-04-01,AS,Alaska Airlines,Network,19025,18911,80,34,80.65,99.4,0.42,1.44,-5.0,29.0,105265,68345,52461,52804,39.4,-3.5
2025,4,2025-04-01,B6,JetBlue Airways,Low-cost,20002,19908,42,52,82.01,99.53,0.21,-0.7,-10.0,34.0,126957,89612,64922,62035,41.4,-7.66
2021,4,2021-04-01,DL,Delta Air Lines,Network,55500,55072,347,81,90.59,99.23,0.63,-5.55,-12.0,11.0,283867,74832,188724,95143,20.9,-9.1
2025,1,2025-01-01,WN,Southwest Airlines,Low-cost,105307,102120,3016,171,82.23,96.97,2.86,-1.17,-9.0,26.0,436405,370449,239675,196730,45.9,-8.43
2025,9,2025-09-01,OO,SkyWest Airlines,Regional,69406,68999,272,135,84.21,99.41,0.39,1.45,-9.0,28.0,593175,134860,372078,221097,18.5,-4.05
2021,2,2021-02-01,F9,Frontier Airlines,Ultra low-cost,6582,6481,98,3,81.98,98.47,1.49,0.12,-9.0,31.0,44278,20401,18091,26187,31.5,-3.58
2022,7,2022-07-01,AA,American Airlines,Network,76614,73903,2448,263,67.99,96.46,3.2,17.24,-2.0,69.0,920363,764782,606730,313633,45.4,-4.03
2024,10,2024-10-01,WN,Southwest Airlines,Low-cost,119251,117570,1546,135,85.42,98.59,1.3,-1.26,-7.0,21.0,365212,355609,232103,133109,49.3,-7.77
