dep_hour,carrier,carrier_name,carrier_type,root_delays,avg_downstream_legs,avg_downstream_minutes,avg_amplification,total_cascade_minutes,total_cascade_cost_usd
0,AA,American Airlines,Network,537,0.276,14.66,1.266,65536,6449398
0,AS,Alaska Airlines,Network,480,0.413,17.55,1.341,30443,2995896
0,B6,JetBlue Airways,Low-cost,53,0.811,46.42,1.727,8552,841602
0,DL,Delta Air Lines,Network,500,0.202,8.09,1.171,45518,4479426
0,F9,Frontier Airlines,Ultra low-cost,1335,0.264,25.38,1.489,122083,12014188
0,MQ,Envoy Air,Regional,14,0.071,0.36,1.015,569,55995
0,NK,Spirit Airlines,Ultra low-cost,479,0.39,19.97,1.312,43359,4266959
0,OH,PSA Airlines,Regional,11,0.0,0.0,1.0,369,36313
0,OO,SkyWest Airlines,Regional,19,1.474,105.95,3.152,3289,323670
0,QX,Horizon Air,Regional,6,0.0,0.0,1.0,189,18599
0,UA,United Airlines,Network,433,0.346,13.42,1.28,28473,2802028
0,YV,Mesa Airlines,Regional,2,0.0,0.0,1.0,237,23323
0,YX,Republic Airways,Regional,16,0.0,0.0,1.0,927,91226
1,AA,American Airlines,Network,484,0.312,17.36,1.175,59804,5885312
1,AS,Alaska Airlines,Network,512,0.184,6.55,1.124,29248,2878296
1,B6,JetBlue Airways,Low-cost,156,0.276,16.75,1.248,13204,1299406
1,DL,Delta Air Lines,Network,503,0.414,20.02,1.298,59547,5860020
1,F9,Frontier Airlines,Ultra low-cost,801,0.286,26.37,1.307,80698,7941490
1,HA,Hawaiian Airlines,Network,116,0.017,0.27,1.007,7892,776652
1,NK,Spirit Airlines,Ultra low-cost,449,0.327,19.41,1.226,42130,4146013
1,OO,SkyWest Airlines,Regional,12,0.0,0.0,1.0,3819,375828
1,UA,United Airlines,Network,255,0.192,9.2,1.101,16670,1640495
2,AA,American Airlines,Network,11,0.091,0.45,1.03,2222,218667
2,AS,Alaska Airlines,Network,468,0.261,9.49,1.155,26447,2602649
2,B6,JetBlue Airways,Low-cost,149,0.416,23.27,1.3,14190,1396438
2,DL,Delta Air Lines,Network,28,0.214,7.89,1.086,2881,283519
2,F9,Frontier Airlines,Ultra low-cost,63,0.254,20.89,1.178,5484,539680
2,HA,Hawaiian Airlines,Network,92,0.011,0.28,1.019,10138,997681
2,NK,Spirit Airlines,Ultra low-cost,147,0.265,20.36,1.168,16142,1588534
2,UA,United Airlines,Network,26,0.0,0.0,1.0,1103,108546
3,AS,Alaska Airlines,Network,141,0.362,15.26,1.313,8864,872306
3,B6,JetBlue Airways,Low-cost,137,0.715,38.66,1.399,14998,1475953
3,DL,Delta Air Lines,Network,7,0.143,1.29,1.051,188,18501
3,F9,Frontier Airlines,Ultra low-cost,91,0.495,26.14,1.523,10524,1035667
3,NK,Spirit Airlines,Ultra low-cost,101,0.347,26.97,1.273,11473,1129058
4,AS,Alaska Airlines,Network,69,0.319,7.03,1.304,2544,250355
4,B6,JetBlue Airways,Low-cost,117,0.598,40.55,1.546,12991,1278444
4,F9,Frontier Airlines,Ultra low-cost,38,0.237,14.45,1.14,5003,492345
4,NK,Spirit Airlines,Ultra low-cost,129,0.411,18.19,1.377,11707,1152086
4,UA,United Airlines,Network,7,0.571,57.43,1.481,863,84928
5,9E,Endeavor Air,Regional,1069,0.507,33.77,1.454,134247,13211247
5,AA,American Airlines,Network,12471,0.527,27.21,1.497,1496887,147308650
5,AS,Alaska Airlines,Network,716,0.494,23.33,1.478,54000,5314140
5,B6,JetBlue Airways,Low-cost,1714,0.964,56.08,2.08,211887,20851800
5,DL,Delta Air Lines,Network,7447,0.482,23.4,1.43,888824,87469170
5,F9,Frontier Airlines,Ultra low-cost,3176,1.247,81.5,2.488,454929,44769563
5,HA,Hawaiian Airlines,Network,122,1.172,43.86,1.948,9894,973669
5,MQ,Envoy Air,Regional,3274,0.549,25.59,1.484,355067,34942143
5,NK,Spirit Airlines,Ultra low-cost,4803,0.638,38.26,1.79,495674,48779278
5,OH,PSA Airlines,Regional,3294,0.809,53.9,1.848,559121,55023098
5,OO,SkyWest Airlines,Regional,7418,0.175,12.36,1.167,1035362,101889974
5,QX,Horizon Air,Regional,314,0.516,28.84,1.381,28910,2845033
5,UA,United Airlines,Network,3296,0.532,26.9,1.488,331725,32645057
5,WN,Southwest Airlines,Low-cost,11516,1.249,58.11,2.378,1265502,124538052
5,YV,Mesa Airlines,Regional,378,0.638,49.46,1.419,68919,6782319
5,YX,Republic Airways,Regional,1311,0.613,36.39,2.188,142507,14024114
6,9E,Endeavor Air,Regional,6094,0.593,36.94,1.706,735501,72380653
6,AA,American Airlines,Network,32880,0.56,29.43,1.617,3818267,375755655
6,AS,Alaska Airlines,Network,5222,0.543,26.66,1.509,411855,40530651
6,B6,JetBlue Airways,Low-cost,11325,0.949,54.76,2.011,1318670,129770315
6,DL,Delta Air Lines,Network,27531,0.53,27.02,1.435,3099919,305063029
6,F9,Frontier Airlines,Ultra low-cost,9759,1.157,74.33,2.497,1294818,127423039
6,HA,Hawaiian Airlines,Network,702,1.151,47.34,2.238,65943,6489451
6,MQ,Envoy Air,Regional,11014,0.568,26.71,1.569,1069552,105254612
6,NK,Spirit Airlines,Ultra low-cost,11006,0.621,37.91,1.655,1093309,107592539
6,OH,PSA Airlines,Regional,8664,0.737,46.35,2.206,1222617,120317739
6,OO,SkyWest Airlines,Regional,23982,0.241,16.91,1.238,3101329,305201787
6,QX,Horizon Air,Regional,590,0.529,26.74,1.502,51009,5019796
6,UA,United Airlines,Network,16852,0.507,29.03,1.562,1580128,155500396
6,WN,Southwest Airlines,Low-cost,29741,1.199,56.21,2.309,3188979,313827423
6,YV,Mesa Airlines,Regional,1688,0.648,49.45,1.59,260186,25604904
6,YX,Republic Airways,Regional,11411,0.561,30.86,1.58,1051348,103463157
7,9E,Endeavor Air,Regional,4695,0.646,40.69,1.812,534323,52582726
7,AA,American Airlines,Network,40834,0.684,35.86,1.969,4475464,440430412
7,AS,Alaska Airlines,Network,14358,0.588,27.02,1.562,1089864,107253516
7,B6,JetBlue Airways,Low-cost,10823,0.98,56.73,2.249,1264577,124447023
7,DL,Delta Air Lines,Network,37881,0.753,41.7,1.711,4266677,419883684
7,F9,Frontier Airlines,Ultra low-cost,6311,1.187,73.73,2.725,819463,80643354
7,HA,Hawaiian Airlines,Network,2925,0.434,17.96,1.443,253527,24949592
7,MQ,Envoy Air,Regional,9387,0.629,28.75,1.701,841818,82843309
7,NK,Spirit Airlines,Ultra low-cost,8538,0.662,39.3,1.727,833410,82015878
7,OH,PSA Airlines,Regional,7178,0.757,45.37,2.187,857615,84397892
7,OO,SkyWest Airlines,Regional,28752,0.282,18.56,1.32,2959733,291267325
7,QX,Horizon Air,Regional,1379,0.674,31.86,1.692,116512,11465946
7,UA,United Airlines,Network,28114,0.606,33.77,1.893,2567889,252705956
7,WN,Southwest Airlines,Low-cost,25357,1.262,59.01,2.494,2736532,269302114
7,YV,Mesa Airlines,Regional,2244,0.559,40.07,1.832,278802,27436905
7,YX,Republic Airways,Regional,8763,0.565,30.69,1.861,765531,75335906
8,9E,Endeavor Air,Regional,3812,0.757,43.75,2.009,394184,38791647
8,AA,American Airlines,Network,43787,0.783,42.42,2.636,4771347,469548258
8,AS,Alaska Airlines,Network,13572,0.625,29.59,1.731,1057543,104072807
8,B6,JetBlue Airways,Low-cost,11107,0.982,56.25,2.231,1269801,124961116
8,DL,Delta Air Lines,Network,32618,0.719,37.91,1.628,3324388,327153023
8,F9,Frontier Airlines,Ultra low-cost,6277,1.126,68.61,2.741,777209,76485138
8,HA,Hawaiian Airlines,Network,3393,0.444,22.19,1.44,295008,29031737
8,MQ,Envoy Air,Regional,10700,0.888,40.23,2.294,953778,93861293
8,NK,Spirit Airlines,Ultra low-cost,7908,0.603,35.65,1.836,726826,71526947
8,OH,PSA Airlines,Regional,5680,0.977,60.67,3.707,685682,67477966
8,OO,SkyWest Airlines,Regional,34147,0.313,19.96,1.449,3104699,305533429
8,QX,Horizon Air,Regional,1270,0.62,29.7,1.697,105266,10359227
8,UA,United Airlines,Network,29273,0.584,31.11,1.95,2491074,245146592
8,WN,Southwest Airlines,Low-cost,34611,1.271,56.74,2.777,3433106,337851961
8,YV,Mesa Airlines,Regional,2553,0.772,50.25,2.641,299661,29489639
8,YX,Republic Airways,Regional,10150,0.601,29.86,1.877,803265,79049309
9,9E,Endeavor Air,Regional,3065,0.728,41.37,2.498,298135,29339465
9,AA,American Airlines,Network,27933,0.698,37.17,2.592,2735128,269163946
9,AS,Alaska Airlines,Network,9524,0.607,29.61,1.629,759819,74773788
9,B6,JetBlue Airways,Low-cost,9342,0.96,55.35,2.27,1075432,105833263
9,DL,Delta Air Lines,Network,19214,0.722,35.88,1.71,1829246,180016099
9,F9,Frontier Airlines,Ultra low-cost,5583,1.099,66.63,3.089,675695,66495145
9,HA,Hawaiian Airlines,Network,2829,0.512,24.15,1.712,230222,22656147
9,MQ,Envoy Air,Regional,4514,0.775,36.41,2.346,377828,37182053
9,NK,Spirit Airlines,Ultra low-cost,7265,0.561,33.66,1.8,641040,63084746
9,OH,PSA Airlines,Regional,6281,0.87,45.66,3.048,573215,56410088
9,OO,SkyWest Airlines,Regional,27828,0.259,16.5,1.349,2352683,231527534
9,QX,Horizon Air,Regional,1112,0.618,30.9,1.641,90402,8896461
9,UA,United Airlines,Network,26738,0.622,32.37,2.168,2195743,216083069
9,WN,Southwest Airlines,Low-cost,25524,1.327,58.9,3.085,2578037,253704621
9,YV,Mesa Airlines,Regional,1637,0.425,27.82,1.748,155505,15303247
9,YX,Republic Airways,Regional,7356,0.593,30.86,2.099,580050,57082721
10,9E,Endeavor Air,Regional,4644,0.66,36.12,2.305,432543,42566557
10,AA,American Airlines,Network,30202,0.765,42.8,3.365,2932601,288597264
10,AS,Alaska Airlines,Network,10996,0.61,31.29,1.781,877362,86341194
10,B6,JetBlue Airways,Low-cost,11357,0.858,50.04,2.388,1240105,122038733
10,DL,Delta Air Lines,Network,25655,0.715,37.5,1.82,2521390,248129990
10,F9,Frontier Airlines,Ultra low-cost,5204,0.964,56.49,2.698,568890,55984465
10,HA,Hawaiian Airlines,Network,3524,0.53,21.52,1.637,276904,27250123
10,MQ,Envoy Air,Regional,8368,0.808,38.9,2.727,711878,70055914
10,NK,Spirit Airlines,Ultra low-cost,8190,0.447,25.96,1.695,664374,65381045
10,OH,PSA Airlines,Regional,4854,0.932,57.48,3.865,540242,53165215
10,OO,SkyWest Airlines,Regional,35047,0.204,13.05,1.275,2973142,292586904
10,QX,Horizon Air,Regional,1312,0.591,27.02,1.806,88383,8697771
10,UA,United Airlines,Network,25061,0.61,31.89,2.276,2031095,199880059
10,WN,Southwest Airlines,Low-cost,31778,1.261,57.18,3.287,3154810,310464852
10,YV,Mesa Airlines,Regional,3100,0.584,41.98,2.415,315117,31010664
10,YX,Republic Airways,Regional,8237,0.579,28.18,2.079,625821,61587045
11,9E,Endeavor Air,Regional,3101,0.691,37.44,2.12,298911,29415832
11,AA,American Airlines,Network,28032,0.743,39.89,3.399,2646628,260454661
11,AS,Alaska Airlines,Network,8637,0.629,29.54,1.85,651648,64128680
11,B6,JetBlue Airways,Low-cost,10451,0.772,45.62,2.247,1096359,107892689
11,DL,Delta Air Lines,Network,27951,0.709,37.24,1.765,2800792,275625941
11,F9,Frontier Airlines,Ultra low-cost,5916,0.941,56.05,3.079,653516,64312510
