airport_code,airport_name,city,country,latitude,longitude,timezone,departures,arrivals,departure_share,size_band,is_mapped
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,America/New_York,1624031,1623924,0.048257989657476144,Large,true
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,America/Chicago,1471806,1471691,0.0437346323597341,Large,true
DEN,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,America/Denver,1448055,1447951,0.04302887273300609,Large,true
ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,America/Chicago,1367471,1367378,0.04063432371358586,Large,true
CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.94309997558594,America/New_York,1001757,1001776,0.029767152810078336,Large,true
LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,America/Los_Angeles,944352,944315,0.02806136646961598,Large,true
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766,America/Phoenix,892857,892818,0.026531195446149226,Large,true
LAS,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,America/Los_Angeles,880847,880882,0.02617431897286375,Large,true
SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,America/Los_Angeles,834405,834327,0.02479429755968105,Large,true
MCO,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016,America/New_York,763365,763361,0.022683347962495343,Large,true
LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,America/New_York,718699,718692,0.02135610028924229,Large,true
BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,America/New_York,653460,653444,0.019417527080193887,Large,true
DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,America/New_York,647058,647144,0.01922729201092048,Large,true
SFO,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375,America/Los_Angeles,643918,644049,0.019133987087846673,Large,true
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529052734,-83.35340118408203,America/New_York,635296,635249,0.018877784843661212,Large,true
EWR,Newark Liberty International Airport,Newark,United States,40.692501068115234,-74.168701171875,America/New_York,607866,607869,0.01806270393922985,Large,true
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,America/Chicago,603060,603077,0.01791989392002835,Large,true
IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.984399795532227,-95.34140014648438,America/Chicago,599998,599948,0.017828906762559563,Large,true
JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,America/New_York,580394,580298,0.017246375007165016,Large,true
SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874267578,-111.97799682617188,America/Denver,567661,567496,0.01686801462961764,Large,true
MIA,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531,America/New_York,523267,523262,0.015548849421038496,Large,true
BNA,Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664,America/Chicago,464267,464272,0.013795667745447887,Large,true
PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865112305,-75.24109649658203,America/New_York,458975,458910,0.013638416263630505,Large,true
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,America/New_York,452876,452884,0.013457184822284283,Large,true
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702,America/New_York,441027,441052,0.01310509245492711,Large,true
SAN,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,America/Los_Angeles,432812,432833,0.012860984192808858,Large,true
AUS,Austin Bergstrom International Airport,Austin,United States,30.194499969482422,-97.6698989868164,America/Chicago,415991,416017,0.012361149125603611,Large,true
MDW,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403,America/Chicago,380092,380093,0.01129441236336586,Large,true
TPA,Tampa International Airport,Tampa,United States,27.975500106811523,-82.533203125,America/New_York,378146,378159,0.011236587083015025,Large,true
DAL,Dallas Love Field,Dallas,United States,32.847099,-96.851799,America/Chicago,343554,343546,0.010208687752133154,Large,true
STL,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003,America/Chicago,298201,298206,0.008861025912589748,Medium,true
PDX,Portland International Airport,Portland,United States,45.58869934,-122.5979996,America/Los_Angeles,294662,294678,0.008755864726997967,Medium,true
HNL,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228,Pacific/Honolulu,285011,285086,0.008469085805792458,Medium,true
RDU,Raleigh Durham International Airport,Raleigh-durham,United States,35.877601623535156,-78.7874984741211,America/New_York,274300,274304,0.008150809044313628,Medium,true
IAD,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,America/New_York,267449,267382,0.007947231965339538,Medium,true
HOU,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,America/Chicago,266822,266803,0.007928600695668432,Medium,true
SMF,Sacramento International Airport,Sacramento,United States,38.69540023803711,-121.59100341796875,America/Los_Angeles,262603,262610,0.007803233348391877,Medium,true
SJC,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.362598,-121.929001,America/Los_Angeles,239779,239642,0.007125019474431197,Medium,true
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057373047,-90.25800323486328,America/Chicago,236646,236690,0.0070319225559629705,Medium,true
MCI,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,America/Chicago,229259,229257,0.006812418267190296,Medium,true
SNA,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,America/Los_Angeles,217378,217380,0.0064593750216361935,Medium,true
IND,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,America/New_York,217319,217361,0.006457621839960603,Medium,true
OAK,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001,America/Los_Angeles,204831,204787,0.006086541623608476,Medium,true
PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,America/New_York,202228,202240,0.00600919362527691,Medium,true
CMH,John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899,America/New_York,197875,197894,0.005879844475550708,Medium,true
CLE,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,America/New_York,195866,196067,0.005820147153749665,Medium,true
SAT,San Antonio International Airport,San Antonio,United States,29.533700942993164,-98.46980285644531,America/Chicago,185956,185973,0.00552567206213775,Medium,true
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,America/New_York,184198,184231,0.005473433191193882,Medium,true
RSW,Southwest Florida International Airport,Fort Myers,United States,26.53619956970215,-81.75520324707031,America/New_York,180375,180379,0.0053598329616043406,Medium,true
SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,18.4393997192,-66.0018005371,America/Puerto_Rico,163053,163080,0.004845110707628399,Medium,true
BUR,Bob Hope Airport,Burbank,United States,34.20069885253906,-118.35900115966797,America/Los_Angeles,141787,141804,0.004213192715880774,Medium,true
JAX,Jacksonville International Airport,Jacksonville,United States,30.49410057067871,-81.68789672851562,America/New_York,140262,140270,0.004167877426808305,Medium,true
