date_day,year,quarter,month,month_name,day_of_month,iso_day_of_week,day_name,is_weekend,holiday_name,is_federal_holiday,travel_period
2025-11-27,2025,4,11,November,27,4,Thursday,false,Thanksgiving,true,Thanksgiving
2024-11-28,2024,4,11,November,28,4,Thursday,false,Thanksgiving,true,Thanksgiving
2023-11-23,2023,4,11,November,23,4,Thursday,false,Thanksgiving,true,Thanksgiving
2022-11-24,2022,4,11,November,24,4,Thursday,false,Thanksgiving,true,Thanksgiving
2021-11-25,2021,4,11,November,25,4,Thursday,false,Thanksgiving,true,Thanksgiving
2025-12-25,2025,4,12,December,25,4,Thursday,false,Christmas Day,true,Christmas / New Year
2025-11-11,2025,4,11,November,11,2,Tuesday,false,Veterans Day,true,
2025-10-13,2025,4,10,October,13,1,Monday,false,Columbus Day,true,
2025-09-01,2025,3,9,September,1,1,Monday,false,Labor Day,true,Summer peak
2025-07-04,2025,3,7,July,4,5,Friday,false,Independence Day,true,Summer peak
2025-06-19,2025,2,6,June,19,4,Thursday,false,Juneteenth,true,Summer peak
2025-05-26,2025,2,5,May,26,1,Monday,false,Memorial Day,true,
2025-02-17,2025,1,2,February,17,1,Monday,false,Presidents' Day,true,
2025-01-20,2025,1,1,January,20,1,Monday,false,Martin Luther King Jr. Day,true,
2025-01-01,2025,1,1,January,1,3,Wednesday,false,New Year's Day,true,Christmas / New Year
2024-12-25,2024,4,12,December,25,3,Wednesday,false,Christmas Day,true,Christmas / New Year
2024-11-11,2024,4,11,November,11,1,Monday,false,Veterans Day,true,
2024-10-14,2024,4,10,October,14,1,Monday,false,Columbus Day,true,
2024-09-02,2024,3,9,September,2,1,Monday,false,Labor Day,true,Summer peak
2024-07-04,2024,3,7,July,4,4,Thursday,false,Independence Day,true,Summer peak
2024-06-19,2024,2,6,June,19,3,Wednesday,false,Juneteenth,true,Summer peak
2024-05-27,2024,2,5,May,27,1,Monday,false,Memorial Day,true,
2024-02-19,2024,1,2,February,19,1,Monday,false,Presidents' Day,true,
2024-01-15,2024,1,1,January,15,1,Monday,false,Martin Luther King Jr. Day,true,
2024-01-01,2024,1,1,January,1,1,Monday,false,New Year's Day,true,Christmas / New Year
2023-12-25,2023,4,12,December,25,1,Monday,false,Christmas Day,true,Christmas / New Year
2023-11-11,2023,4,11,November,11,6,Saturday,true,Veterans Day,true,
2023-10-09,2023,4,10,October,9,1,Monday,false,Columbus Day,true,
2023-09-04,2023,3,9,September,4,1,Monday,false,Labor Day,true,Summer peak
2023-07-04,2023,3,7,July,4,2,Tuesday,false,Independence Day,true,Summer peak
2023-06-19,2023,2,6,June,19,1,Monday,false,Juneteenth,true,Summer peak
2023-05-29,2023,2,5,May,29,1,Monday,false,Memorial Day,true,
2023-02-20,2023,1,2,February,20,1,Monday,false,Presidents' Day,true,
2023-01-16,2023,1,1,January,16,1,Monday,false,Martin Luther King Jr. Day,true,
2023-01-01,2023,1,1,January,1,7,Sunday,true,New Year's Day,true,Christmas / New Year
2022-12-25,2022,4,12,December,25,7,Sunday,true,Christmas Day,true,Christmas / New Year
2022-11-11,2022,4,11,November,11,5,Friday,false,Veterans Day,true,
2022-10-10,2022,4,10,October,10,1,Monday,false,Columbus Day,true,
2022-09-05,2022,3,9,September,5,1,Monday,false,Labor Day,true,Summer peak
2022-07-04,2022,3,7,July,4,1,Monday,false,Independence Day,true,Summer peak
2022-06-19,2022,2,6,June,19,7,Sunday,true,Juneteenth,true,Summer peak
2022-05-30,2022,2,5,May,30,1,Monday,false,Memorial Day,true,
2022-02-21,2022,1,2,February,21,1,Monday,false,Presidents' Day,true,
2022-01-17,2022,1,1,January,17,1,Monday,false,Martin Luther King Jr. Day,true,
2022-01-01,2022,1,1,January,1,6,Saturday,true,New Year's Day,true,Christmas / New Year
2021-12-25,2021,4,12,December,25,6,Saturday,true,Christmas Day,true,Christmas / New Year
2021-11-11,2021,4,11,November,11,4,Thursday,false,Veterans Day,true,
2021-10-11,2021,4,10,October,11,1,Monday,false,Columbus Day,true,
2021-09-06,2021,3,9,September,6,1,Monday,false,Labor Day,true,Summer peak
2021-07-04,2021,3,7,July,4,7,Sunday,true,Independence Day,true,Summer peak
2021-06-19,2021,2,6,June,19,6,Saturday,true,Juneteenth,true,Summer peak
2021-05-31,2021,2,5,May,31,1,Monday,false,Memorial Day,true,Summer peak
2021-02-15,2021,1,2,February,15,1,Monday,false,Presidents' Day,true,
2021-01-18,2021,1,1,January,18,1,Monday,false,Martin Luther King Jr. Day,true,
2021-01-01,2021,1,1,January,1,5,Friday,false,New Year's Day,true,Christmas / New Year
2025-12-30,2025,4,12,December,30,2,Tuesday,false,,false,Christmas / New Year
2025-12-27,2025,4,12,December,27,6,Saturday,true,,false,Christmas / New Year
2025-12-11,2025,4,12,December,11,4,Thursday,false,,false,
2025-11-23,2025,4,11,November,23,7,Sunday,true,,false,
2025-11-14,2025,4,11,November,14,5,Friday,false,,false,
2025-10-03,2025,4,10,October,3,5,Friday,false,,false,
2025-09-28,2025,3,9,September,28,7,Sunday,true,,false,
2025-09-18,2025,3,9,September,18,4,Thursday,false,,false,
2025-09-05,2025,3,9,September,5,5,Friday,false,,false,Summer peak
2025-09-02,2025,3,9,September,2,2,Tuesday,false,,false,Summer peak
