route,origin,dest,origin_city,dest_city,origin_size_band,carrier,carrier_name,flights,distance_miles,avg_scheduled_block_minutes,on_time_arrival_pct,cancellation_rate_pct,avg_arr_delay_minutes,p90_arr_delay_minutes,avg_block_variance_minutes,avg_air_time_minutes,root_delay_minutes,inherited_delay_minutes
HNL-OGG,HNL,OGG,Honolulu,Kahului,Medium,HA,Hawaiian Airlines,37717,100.0,42.3,83.01,1.01,5.47,23.0,0.59,21.8,131124,97440
OGG-HNL,OGG,HNL,Kahului,Honolulu,Medium,HA,Hawaiian Airlines,37715,100.0,41.0,79.89,1.19,6.17,27.0,1.1,24.5,115969,170531
HNL-LIH,HNL,LIH,Honolulu,Lihue,Medium,HA,Hawaiian Airlines,28595,102.0,41.9,84.7,1.23,4.38,21.0,0.38,22.3,80304,73733
LIH-HNL,LIH,HNL,Lihue,Honolulu,Small,HA,Hawaiian Airlines,28592,102.0,38.0,81.54,1.32,5.12,25.0,1.24,22.1,74623,124518
KOA-HNL,KOA,HNL,Kona,Honolulu,Small,HA,Hawaiian Airlines,27298,163.0,48.9,83.16,1.07,4.32,23.0,0.47,30.7,65734,114684
HNL-KOA,HNL,KOA,Honolulu,Kona,Medium,HA,Hawaiian Airlines,27292,163.0,47.6,85.55,0.96,4.06,19.0,0.14,28.4,79719,60489
ANC-SEA,ANC,SEA,Anchorage,Seattle,Medium,AS,Alaska Airlines,27098,1448.0,208.6,81.85,1.36,0.7,24.0,-2.35,179.5,141892,56230
SEA-ANC,SEA,ANC,Seattle,Anchorage,Large,AS,Alaska Airlines,27089,1448.0,222.5,72.8,1.3,5.79,37.0,-3.95,191.9,213932,80336
ATL-MCO,ATL,MCO,Atlanta,Orlando,Large,DL,Delta Air Lines,25825,404.0,89.8,73.25,0.89,12.84,52.0,-1.56,61.1,342233,69583
MCO-ATL,MCO,ATL,Orlando,Atlanta,Large,DL,Delta Air Lines,25824,404.0,96.6,78.16,0.93,10.76,50.0,-4.14,63.6,251425,193778
LAX-DFW,LAX,DFW,Los Angeles,Dallas-Fort Worth,Large,AA,American Airlines,22986,1235.0,186.2,77.09,1.76,11.71,47.0,-6.13,151.8,239932,179182
DFW-LAX,DFW,LAX,Dallas-Fort Worth,Los Angeles,Large,AA,American Airlines,22984,1235.0,201.7,71.47,1.74,11.55,56.0,-7.39,166.5,234784,174895
LGA-ATL,LGA,ATL,New York,Atlanta,Large,DL,Delta Air Lines,22126,762.0,155.5,81.31,1.68,0.63,37.0,-12.66,112.0,197299,97595
ATL-LGA,ATL,LGA,Atlanta,New York,Large,DL,Delta Air Lines,22125,762.0,135.4,79.4,1.64,3.79,38.0,-8.88,101.6,228991,35647
ITO-HNL,ITO,HNL,Hilo,Honolulu,Small,HA,Hawaiian Airlines,21084,216.0,55.3,83.56,0.82,4.92,23.0,0.7,37.8,44419,89759
HNL-ITO,HNL,ITO,Honolulu,Hilo,Medium,HA,Hawaiian Airlines,21069,216.0,55.1,84.39,0.77,4.86,21.0,-0.21,35.9,59753,58096
TPA-ATL,TPA,ATL,Tampa,Atlanta,Large,DL,Delta Air Lines,20781,406.0,95.7,82.52,1.18,4.99,34.0,-5.92,64.7,139589,114681
ATL-TPA,ATL,TPA,Atlanta,Tampa,Large,DL,Delta Air Lines,20781,406.0,85.7,76.55,1.16,9.78,42.0,-2.58,61.8,217795,53041
LGA-BOS,LGA,BOS,New York,Boston,Large,YX,Republic Airways,20244,184.0,82.4,79.1,3.21,1.3,44.0,-7.39,38.9,167455,79710
BOS-LGA,BOS,LGA,Boston,New York,Large,YX,Republic Airways,20243,184.0,86.6,79.58,3.7,1.72,43.0,-6.75,46.6,179262,67325
ATL-FLL,ATL,FLL,Atlanta,Fort Lauderdale,Large,DL,Delta Air Lines,20070,581.0,111.6,75.99,0.88,8.77,44.0,-4.3,84.6,211989,53235
FLL-ATL,FLL,ATL,Fort Lauderdale,Atlanta,Large,DL,Delta Air Lines,20066,581.0,116.6,79.17,0.9,8.51,43.0,-5.54,85.0,172716,128173
SAN-SMF,SAN,SMF,San Diego,Sacramento,Large,WN,Southwest Airlines,19803,480.0,97.5,78.47,1.33,4.56,35.0,-5.56,71.7,57982,135894
PHX-DEN,PHX,DEN,Phoenix,Denver,Large,WN,Southwest Airlines,19740,602.0,106.2,74.0,2.21,8.17,42.0,-6.02,80.6,141641,96624
SMF-SAN,SMF,SAN,Sacramento,San Diego,Medium,WN,Southwest Airlines,19718,480.0,89.6,77.65,1.35,6.71,35.0,-3.83,69.8,88533,109456
DEN-PHX,DEN,PHX,Denver,Phoenix,Large,WN,Southwest Airlines,19708,602.0,117.1,70.1,2.17,10.64,47.0,-6.77,88.8,144195,136883
DFW-AUS,DFW,AUS,Dallas-Fort Worth,Austin,Large,AA,American Airlines,19654,190.0,66.0,68.44,2.89,16.83,66.0,-2.66,36.5,224049,186044
AUS-DFW,AUS,DFW,Austin,Dallas-Fort Worth,Large,AA,American Airlines,19651,190.0,71.3,74.82,2.99,18.42,58.0,-1.79,40.7,244142,220973
ATL-LAX,ATL,LAX,Atlanta,Los Angeles,Large,DL,Delta Air Lines,19617,1947.0,291.4,77.77,0.61,4.96,36.0,-7.79,255.4,195242,32010
LAX-ATL,LAX,ATL,Los Angeles,Atlanta,Large,DL,Delta Air Lines,19607,1947.0,257.5,80.18,0.62,5.08,32.0,-8.47,223.2,172003,59445
PHX-DFW,PHX,DFW,Phoenix,Dallas-Fort Worth,Large,AA,American Airlines,19496,868.0,146.3,80.38,1.74,6.23,37.0,-5.9,112.0,152510,109188
DFW-PHX,DFW,PHX,Dallas-Fort Worth,Phoenix,Large,AA,American Airlines,19491,868.0,157.7,71.34,1.72,14.3,59.0,-5.63,125.8,185510,182246
LAX-SFO,LAX,SFO,Los Angeles,San Francisco,Large,OO,SkyWest Airlines,19460,337.0,86.6,78.07,0.53,5.37,39.0,-2.32,56.9,152890,72830
SJC-SAN,SJC,SAN,San Jose,San Diego,Medium,WN,Southwest Airlines,19455,417.0,82.6,76.97,1.69,6.33,35.0,-2.96,62.6,87636,104162
SFO-LAX,SFO,LAX,San Francisco,Los Angeles,Large,OO,SkyWest Airlines,19426,337.0,92.2,81.8,0.59,2.43,32.0,-4.64,57.2,117939,74436
SAN-SJC,SAN,SJC,San Diego,San Jose,Large,WN,Southwest Airlines,19339,417.0,85.5,77.27,1.58,5.41,36.0,-4.7,60.9,55534,142100
HOU-DAL,HOU,DAL,Houston,Dallas,Medium,WN,Southwest Airlines,19268,239.0,67.3,76.93,2.8,5.48,39.0,-5.8,43.8,138971,79933
DAL-HOU,DAL,HOU,Dallas,Houston,Large,WN,Southwest Airlines,19221,239.0,70.9,74.63,2.72,6.89,43.0,-6.52,45.7,126685,113905
CLT-MCO,CLT,MCO,Charlotte,Orlando,Large,AA,American Airlines,19160,468.0,102.9,72.92,1.51,12.45,56.0,-2.08,70.9,188535,136861
MCO-CLT,MCO,CLT,Orlando,Charlotte,Large,AA,American Airlines,19159,468.0,108.1,78.44,1.58,9.06,48.0,-4.05,74.0,152093,168514
DFW-LAS,DFW,LAS,Dallas-Fort Worth,Las Vegas,Large,AA,American Airlines,18740,1055.0,176.3,66.91,2.35,16.56,67.0,-4.79,145.0,204112,187679
LAS-DFW,LAS,DFW,Las Vegas,Dallas-Fort Worth,Large,AA,American Airlines,18733,1055.0,166.8,77.45,2.43,11.02,46.0,-7.43,130.4,186939,183023
DFW-MIA,DFW,MIA,Dallas-Fort Worth,Miami,Large,AA,American Airlines,18652,1121.0,172.0,69.46,1.75,14.94,62.0,-5.48,137.8,248082,123873
MIA-DFW,MIA,DFW,Miami,Dallas-Fort Worth,Large,AA,American Airlines,18639,1121.0,197.7,70.89,1.74,15.26,62.0,-4.52,160.4,260754,127039
DFW-LGA,DFW,LGA,Dallas-Fort Worth,New York,Large,AA,American Airlines,18574,1389.0,204.5,70.87,3.11,9.8,57.0,-6.67,173.1,182263,123109
LGA-DFW,LGA,DFW,New York,Dallas-Fort Worth,Large,AA,American Airlines,18572,1389.0,243.3,74.43,3.19,6.07,55.0,-8.84,197.4,186858,148266
ORD-DFW,ORD,DFW,Chicago,Dallas-Fort Worth,Large,AA,American Airlines,18540,802.0,154.5,73.48,2.2,12.13,56.0,-7.78,116.0,212909,159662
DFW-ORD,DFW,ORD,Dallas-Fort Worth,Chicago,Large,AA,American Airlines,18538,802.0,146.9,73.51,2.16,10.32,55.0,-7.63,108.5,190616,133384
LAS-SAN,LAS,SAN,Las Vegas,San Diego,Large,WN,Southwest Airlines,18388,258.0,70.8,67.53,1.54,12.23,50.0,-3.35,45.3,144227,131928
SAN-LAS,SAN,LAS,San Diego,Las Vegas,Large,WN,Southwest Airlines,18236,258.0,79.5,75.03,1.91,6.72,43.0,-5.71,49.9,106025,114242
DCA-ATL,DCA,ATL,Washington,Atlanta,Large,DL,Delta Air Lines,18064,547.0,116.9,82.38,1.43,4.0,33.0,-8.62,82.7,146338,94204
ATL-DCA,ATL,DCA,Atlanta,Washington,Large,DL,Delta Air Lines,18064,547.0,103.7,74.35,1.35,9.65,43.0,-2.63,78.7,203480,46791
DFW-CLT,DFW,CLT,Dallas-Fort Worth,Charlotte,Large,AA,American Airlines,18042,936.0,153.9,73.12,1.93,12.21,58.0,-6.97,118.2,183345,146617
CLT-DFW,CLT,DFW,Charlotte,Dallas-Fort Worth,Large,AA,American Airlines,18021,936.0,174.5,75.46,1.93,7.28,46.0,-6.34,137.7,160332,98808
EWR-MCO,EWR,MCO,Newark,Orlando,Large,UA,United Airlines,17997,937.0,173.5,72.39,2.67,10.27,60.0,-5.48,134.3,203809,121752
MCO-EWR,MCO,EWR,Orlando,Newark,Large,UA,United Airlines,17995,937.0,162.6,73.17,2.81,13.14,64.0,-3.98,127.7,251313,116810
DEN-IAH,DEN,IAH,Denver,Houston,Large,UA,United Airlines,17987,862.0,145.5,74.94,1.23,10.34,51.0,-4.42,112.9,163713,121670
IAH-DEN,IAH,DEN,Houston,Denver,Large,UA,United Airlines,17985,862.0,155.9,78.07,1.2,7.15,43.0,-5.73,121.2,158639,95303
ORD-EWR,ORD,EWR,Chicago,Newark,Large,UA,United Airlines,17953,719.0,137.5,73.18,2.13,12.5,67.0,-7.04,95.1,251492,114873
EWR-ORD,EWR,ORD,Newark,Chicago,Large,UA,United Airlines,17937,719.0,158.5,73.13,2.15,10.1,57.0,-5.89,113.3,201046,116936
ATL-BOS,ATL,BOS,Atlanta,Boston,Large,DL,Delta Air Lines,17920,946.0,156.3,80.42,0.83,2.99,35.0,-8.55,121.7,156932,28660
ATL-DTW,ATL,DTW,Atlanta,Detroit,Large,DL,Delta Air Lines,17913,594.0,116.0,81.97,0.34,4.5,31.0,-5.64,85.8,142851,30729
BOS-ATL,BOS,ATL,Boston,Atlanta,Large,DL,Delta Air Lines,17904,946.0,175.6,82.6,0.87,1.81,31.0,-10.33,137.1,136997,69190
DTW-ATL,DTW,ATL,Detroit,Atlanta,Large,DL,Delta Air Lines,17898,594.0,123.9,85.21,0.37,-0.02,26.0,-11.42,87.9,144469,37784
DCA-BOS,DCA,BOS,Washington,Boston,Large,B6,JetBlue Airways,17887,399.0,93.8,74.94,2.7,9.62,61.0,-5.1,63.6,186819,145190
BOS-DCA,BOS,DCA,Boston,Washington,Large,B6,JetBlue Airways,17886,399.0,104.0,75.95,2.44,6.1,48.0,-4.43,74.9,187591,80580
DFW-SAT,DFW,SAT,Dallas-Fort Worth,San Antonio,Large,AA,American Airlines,17809,247.0,71.3,68.26,2.69,17.63,71.0,-4.22,45.1,192472,197146
SAT-DFW,SAT,DFW,San Antonio,Dallas-Fort Worth,Medium,AA,American Airlines,17807,247.0,75.2,75.38,2.72,14.3,56.0,-2.14,45.8,181068,173635
ATL-JAX,ATL,JAX,Atlanta,Jacksonville,Large,DL,Delta Air Lines,17800,270.0,68.8,78.06,0.99,7.53,39.0,-3.48,43.8,158218,47895
JAX-ATL,JAX,ATL,Jacksonville,Atlanta,Medium,DL,Delta Air Lines,17800,270.0,75.7,86.57,1.02,0.6,22.0,-6.85,46.1,96407,66203
ATL-PBI,ATL,PBI,Atlanta,West Palm Beach,Large,DL,Delta Air Lines,17364,545.0,107.0,76.76,1.08,8.21,42.0,-2.78,82.4,169329,43935
PBI-ATL,PBI,ATL,West Palm Beach,Atlanta,Medium,DL,Delta Air Lines,17363,545.0,111.5,83.93,1.1,2.69,29.0,-5.14,81.7,94930,82199
MCO-BWI,MCO,BWI,Orlando,Baltimore,Large,WN,Southwest Airlines,17356,787.0,133.9,74.15,2.73,8.22,45.0,-6.65,106.1,132591,101698
BWI-MCO,BWI,MCO,Baltimore,Orlando,Large,WN,Southwest Airlines,17324,787.0,144.1,70.91,2.61,10.39,52.0,-7.75,113.9,186023,87251
