carrier,carrier_name,airport_code,city,size_band,turns,median_sched_turn_minutes,min_feasible_turn_minutes,median_slack_minutes,tight_turn_pct,actual_inherited_minutes,minutes_saved_plus_5,minutes_saved_plus_10,minutes_saved_plus_15,efficiency_plus_10,delay_cost_avoided_usd_plus_10,benchmark_level
WN,Southwest Airlines,DEN,Denver,Large,386648,55.0,42.0,13.0,59.3,2496787,368104.0,663315.0,903933.0,0.172,65276829.0,carrier_airport
AA,American Airlines,DFW,Dallas-Fort Worth,Large,614797,74.0,46.0,28.0,25.8,3775270,347742.0,633898.0,873799.0,0.103,62381902.0,carrier_airport
WN,Southwest Airlines,LAS,Las Vegas,Large,344892,50.0,39.0,11.0,55.5,2170917,322497.0,581669.0,793349.0,0.169,57242046.0,carrier_airport
WN,Southwest Airlines,DAL,Dallas,Large,282961,50.0,40.0,10.0,59.1,1652299,256869.0,460450.0,624817.0,0.163,45312885.0,carrier_airport
DL,Delta Air Lines,ATL,Atlanta,Large,929353,82.0,42.0,40.0,16.2,1880352,233502.0,421534.0,576074.0,0.045,41483161.0,carrier_airport
WN,Southwest Airlines,MDW,Chicago,Large,303274,55.0,41.0,14.0,55.2,1470418,234376.0,416328.0,561442.0,0.137,40970838.0,carrier_airport
WN,Southwest Airlines,PHX,Phoenix,Large,262702,50.0,40.0,10.0,52.6,1295028,220636.0,392931.0,529790.0,0.15,38668340.0,carrier_airport
AA,American Airlines,CLT,Charlotte,Large,478123,69.0,37.0,32.0,14.7,2423396,213036.0,389110.0,537177.0,0.081,38292315.0,carrier_airport
WN,Southwest Airlines,BWI,Baltimore,Large,290330,55.0,42.0,13.0,53.8,1467898,218191.0,387835.0,522653.0,0.134,38166842.0,carrier_airport
WN,Southwest Airlines,BNA,Nashville,Large,209991,50.0,38.0,12.0,57.0,1134689,171084.0,307865.0,419163.0,0.147,30296995.0,carrier_airport
UA,United Airlines,DEN,Denver,Large,380506,77.0,42.0,35.0,11.2,1621083,159151.0,292306.0,405890.0,0.077,28765833.0,carrier_airport
